"EIN","NAME","DBA","FISYR","STATE","ADDRESS","CITY","ZIP","STYEAR","ENDYEAR","TAXPREP","FORMTYPE","GROSSRECEIPTS","GROUPRETURN","GROUPEXEMPTNUM","FORMYEAR","DOMICILE","WEBSITE","URL","FORMORGASSOC","FORMORGCORP","FORMORGTRUST","FORMORGOTHER","FORMORGOTHERDESC","FORMORG","ACCTACCRUAL","ACCTCASH","ACCTOTHER","ACCTMETHOD","EXEMPT4947A1","EXEMPT501C","EXEMPT501CNUM","EXEMPT501C3","EXEMPT527","EXEMPTSTATUS","MISSION","DISCOPS","VOTINGMEMBERS","INDVOTINGMEMBERS","TOTEMPLOYEE","TOTVOLUNTEERS","TOTUBI","NETUBI","CONTRIBPRIOR","CONTRIBCURRENT","PSRPRIOR","PSRCURRENT","INVINCPRIOR","INVINCCURRENT","OTHERREVPRIOR","OTHERREVCURRENT","TOTALREVPRIOR","TOTALREVCURRENT","MEMBERDUES","GROSSSALESOTHER","SALESCOSTOTHER","NETSALESOTHER","GROSSINCGAMING","GROSSINCFNDEVENTS","GAMINGEXP","FNDEVENTSEXP","EXPGAMINGFNDEVENTS","GAMINGNET","FNDEVENTSNET","NETGAMINGFNDEVENTS","GROSSSALESINV","SALESCOSTINV","NETSALESINV","GRANTSPAIDPRIOR","GRANTSPAIDCURRENT","MEMBERBENPRIOR","MEMBERBENCURRENT","SALARIESPRIOR","SALARIESCURRENT","PROFUNDFEESPRIOR","PROFUNDFEESCURRENT","TOTFUNDEXP","FEESMGMT","FEESLEGAL","FEESACCT","FEESLOBBY","FEESPROFND","FEESINVMGMT","FEESOTHER","PROFEESINDEP","OCCUPANCY","OFFICEEXP","OTHEREXPPRIOR","OTHEREXPCURRENT","TOTALEXPPRIOR","TOTALEXPCURRENT","REVLESSEXPPRIOR","REVLESSEXPCURRENT","TOTALASSETSBEGYEAR","TOTALASSETSENDYEAR","TOTALLIABBEGYEAR","TOTALLIABENDYEAR","NETASSETSBEGYEAR","OTHERASSETSCHANGES","NETASSETSENDYEAR","CASHBEGYEAR","CASHENDYEAR","SAVINVBEGYEAR","SAVINVENDYEAR","CASHINVBEGYEAR","CASHINVENDYEAR","LANDBLDEQUIPCOST","LANDBLDEQUIPDEP","LANDBEGYEAR","LANDENDYEAR","OTHERASSETSBEGYEAR","OTHERASSETSENDYEAR","TOTALPROGSERVEXP","LOBBYING","FOREIGNREV","SCHEDOPARTVI","VMGOVERNING","IVMGOVERNING","OFFICERREL","MGMTDEL","CHANGESGOVDOCS","DIVASSETS","STOCKMEMBER","MEMBERCHOOSE","GOVBODYDECISION","GOVBODYDOCU","COMMITTEEDOCU","NOTREACH","COIPOLICY","COIDISCLOSE","COIMONITOR","WBPOLICY","FILINGSTATES","PUBLICWEBSELF","PUBLICWEBOTHER","PUBLICREQUEST","PUBLICOTHER","PUBLICSHARE","ORGBOOKNAME","ORGBOOKPHONE","ORGBOOKADDRESS","ORGBOOKCITY","ORGBOOKSTATE","ORGBOOKZIP","PLEDGEGRANTBEGYEAR","PLEDGEGRANTENDYEAR","ACCTRECBEGYEAR","ACCTRECENDYEAR","LOANSFROMOFFBEGYEAR","LOANSFROMOFFENDYEAR","LOANSDQPBEGYEAR","LOANSDQPENDYEAR","LOANSNOTESBEGYEAR","LOANSNOTESENDYEAR","INVENTORYBEGYEAR","INVENTORYENDYEAR","PREEXPBEGYEAR","PREEXPENDYEAR","INVESTPUBBEGYEAR","INVESTPUBENDYEAR","INVESTOTHBEGYEAR","INVESTOTHENDYEAR","INVESTPRGBEGYEAR","INVESTPRGENDYEAR","INTANASSETSBEGYEAR","INTANASSETSENDYEAR","TABALSHEETBEGYEAR","TABALSHEETENDYEAR","ACCTPAYBEGYEAR","ACCTPAYENDYEAR","GRANTSPAYBEGYEAR","GRANTSPAYENDYEAR","DEFREVBEGYEAR","DEFREVENDYEAR","BONDBEGYEAR","BONDENDYEAR","ESCROWBEGYEAR","ESCROWENDYEAR","LOANSTOOFFBEGYEAR","LOANSTOOFFENDYEAR","MORTGAGEBEGYEAR","MORTGAGEENDYEAR","UNSECNOTESBEGYEAR","UNSECNOTESENDYEAR","OTHERLIABBEGYEAR","OTHERLIABENDYEAR","TLBALSHEETBEGYEAR","TLBALSHEETENDYEAR","ORGSFAS117","ORGNOTSFAS117","URESTNABEGYEAR","URESTNAENDYEAR","TRESTNABEGYEAR","TRESTNAENDYEAR","PRESTNABEGYEAR","PRESTNAENDYEAR","STOCKBEGYEAR","STOCKENDYEAR","SURPLUSBEGYEAR","SURPLUSENDYEAR","EARNINGSBEGYEAR","EARNINGSENDYEAR","TOTNETASSETSBEGYEAR","TOTNETASSETSENDYEAR","TOTLIABNABEGYEAR","TOTLIABNAENDYEAR","SCHEDA","SCHEDB","SCHEDC","SCHEDD","SCHEDE","SCHEDF","SCHEDG","SCHEDH","SCHEDI","SCHEDJ","SCHEDK","SCHEDL","SCHEDM","SCHEDN","SCHEDO","SCHEDR","LOBPOFILING","LOBPOAFFIL","LOBLBFILING","LOBLBAFFIL","TOTLOBEXPFILING","TOTLOBEXPAFFIL","OTHEREXEMPTFILING","OTHEREXEMPTAFFIL","TOTEXEMPTFILING","TOTEXEMPTAFFIL","LOBNTFILING","LOBNTAFFIL","zip5","Fips","NteeFinal","LONGITUDE","LATITUDE","censusTract","block","NAICS","OrgType","lon","lat"
381215360,"CREDIT UNIONS CHARTERED IN THE",NA,2013,"MI","PO BOX 2848","GRAND RAPIDS",49501,"1/1/2013","12/31/2013",NA,"990",301093010,"FALSE",NA,1933,"MI","WWW.LMCU.ORG","https://s3.amazonaws.com/irs-form-990/201412959349300636_public.xml",NA,NA,NA,NA,"NON PROFIT","NON PROFIT","Accrual",NA,NA,"Accrual",NA,"501c",14,NA,NA,"501c14","PROMOTION OF THRIFT AND PROVIDING LOW COST CREDIT AND OTHER FINANCIAL SERVICES FOR ITS MEMBERS THROUGH MUTUAL AND NONPROFIT ORGANIZATION.",NA,11,11,874,NA,2354031,-753314,0,0,154462938,135187221,39086895,38507187,0,0,193549833,173694408,0,144077560,116026341,28177964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41828055,46957237,0,0,0,250484,606972,91834,0,0,0,0,949290,3700447,5043337,73345904,72725770,115173959,119683007,78375874,54011401,2730966240,3041411625,2440111482,2711343708,290854758,NA,330067917,235177183,167042238,2496722,155424,237673905,167197662,80390418,29305307,50489927,51085111,65910364,67389758,119683007,NA,"FALSE","X",11,11,"TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","",NA,NA,"Upon Request",NA,",,Upon Request,",NA,6162346334,NA,NA,NA,NA,0,0,24730527,14634018,2082652,0,0,0,1632876826,1787599904,279273518,53079911,4348454,4228307,414524034,876170413,18680697,19672652,0,19672652,375336,353889,2730966240,3041411625,24625941,8127205,0,0,0,0,0,0,9055295,7489372,0,0,226000000,248000000,0,0,2180430246,2447727131,2440111482,2711343708,NA,"X",0,0,0,0,0,0,0,0,0,0,290854758,330067917,290854758,330067917,2730966240,3041411625,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,49501,26081,"W61",-85.6291,42.9842,26081001101,2.61e+14,522130,"OT",-85.6736663,42.9713293
381237795,"CHRISTIAN REST HOME ASSOCIATION",NA,2013,"MI","1000 EDISON NW","GRAND RAPIDS",49504,"6/1/2013","5/31/2014","KERRY NELSON CPA","990",14346705,"0",NA,1945,"MI","WWW.CHRISTIANRESTHOME.ORG","https://s3.amazonaws.com/irs-form-990/201432949349300523_public.xml","Association",NA,NA,NA,NA,"Association","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","PROVIDE SKILLED AND BASIC NURSING CARE, SUPPORTIVE CARE, AND RESIDENTIAL CARE TO ADULT PERSONS.",NA,12,12,378,250,0,0,350139,506574,13799824,13594533,50418,26273,189052,156075,14389433,14283455,0,0,19370,-19370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9013582,9369920,8503,8503,18011,285636,1196,36950,0,8503,0,310344,642629,641966,0,4544239,4436819,13566324,13815242,823109,468213,16860328,17393920,1269828,1335207,15590500,NA,16058713,0,0,5127354,3923820,5127354,3923820,12304700,8062105,4578218,4242595,12236,13705,12804223,"0","0","X",12,12,"0","0","0","0","1","1","1","1","1","0","1","1","1","1","MI",NA,NA,"Upon Request",NA,",,Upon Request,","JIM HORJUS",6164532475,NA,NA,NA,NA,0,0,674017,722364,0,0,0,0,0,0,0,0,173795,161340,0,0,6294708,8330096,0,8330096,0,0,16860328,17393920,1070762,999450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199066,335757,1269828,1335207,"X",NA,15590500,16058713,0,0,0,0,0,0,0,0,0,0,15590500,16058713,16860328,17393920,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,49504,26081,"E91",-85.7134,42.983,26081001700,2.61e+14,623110,"PC",-85.713403,42.9816663
381265117,"COMMUNICATION WORKERS OF AMERICA",NA,2013,"MI","918 BENJAMIN AVE NE","GRAND RAPIDS",49503,"10/1/2013","9/30/2014","DUANE S CULVER CPA","990",58037,"FALSE",NA,NA,"",NA,"https://s3.amazonaws.com/irs-form-990/201433519349300118_public.xml",NA,"Corporation",NA,NA,NA,"Corporation",NA,"Cash",NA,"Cash",NA,"501c",5,NA,NA,"501c5","UNION REPRESENTATION",NA,7,7,9,NA,0,0,0,0,61606,55277,1472,2601,268,159,63346,58037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21972,20010,0,0,0,0,0,2345,0,0,0,0,2345,3600,4835,51633,39436,73605,59446,-10259,-1409,257942,255420,2141,1028,255801,NA,254392,114520,112200,133403,22485,247923,134685,19338,18861,1441,477,0,0,45793,NA,"FALSE","X",7,7,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE",NA,NA,"FALSE","",NA,NA,NA,NA,NA,NA,6164567492,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8578,120258,0,0,0,0,0,0,257942,255420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141,1028,2141,1028,"X",NA,255801,254392,0,0,0,0,0,0,0,0,0,0,255801,254392,257942,255420,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49503,26081,"J40",-85.6367,42.979,26081001101,2.61e+14,813930,"OT",-85.6365226,42.9789827
381358058,"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER GRAND RAPIDS",NA,2013,"MI","475 Lake Michigan Drive NW","Grand Rapids",49504,"1/1/2013","12/31/2013",NA,"990",28513508,"FALSE",NA,1866,"MI","WWW.GRYMCA.ORG","https://s3.amazonaws.com/irs-form-990/201441359349309679_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","TO PUT CHRISTIAN PRINCIPLES INTO PRACTICE THROUGH PROGRAMS THAT BUILD HEALTHY SPIRIT, MIND, AND BODY FOR ALL.",NA,29,29,1978,1849,0,0,3848063,4402862,20435483,21924568,171540,262135,214769,126357,24669855,26715922,0,0,0,102816,0,28528,0,78290,78290,0,-49762,-49762,0,0,0,0,0,0,0,13761221,15046326,0,8000,642521,0,221027,41727,0,8000,0,419173,689927,1544919,2093833,10675199,10948690,24436420,26003016,233435,712906,65622867,65077760,35172117,33545598,30450750,NA,31532162,4093129,5360583,918837,838994,5011966,6199577,71004031,19335031,52905797,51669000,368132,367751,21862660,"FALSE","FALSE","X",29,29,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","MI","Own Website","Another's Website","Upon Request",NA,"Own Website,Another's Website,Upon Request,",NA,6168559600,NA,NA,NA,NA,2611399,1741037,622721,488164,0,0,0,0,0,0,10837,11612,365506,328053,3726509,4272566,0,0,0,0,0,0,65622867,65077760,744052,671390,0,0,505737,839766,31335000,29970000,0,0,0,0,1790538,1404244,0,0,796790,660198,35172117,33545598,"X",NA,27234694,28689880,2106664,1681457,1109392,1160825,0,0,0,0,0,0,30450750,31532162,65622867,65077760,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49504,26081,"P27",-85.6807,42.966,26081001900,2.61e+14,624100,"PC",-85.6808875,42.9665955
381358163,"DA BLODGETT FOR CHILDREN",NA,2013,"MI","805 LEONARD ST NE","GRAND RAPIDS",495031138,"1/1/2013","12/31/2013","COREY E BALKON CPA","990",16213440,"0",NA,1887,"MI","WWW.DABLODGETT.ORG","https://s3.amazonaws.com/irs-form-990/201441579349300704_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","THE AGENCY PROVIDES ADOPTION, HOME BASED SERVICES, PREGNANCY SUPPORT SERVICES, FOSTER CARE, RESIDENTIAL TREATMENT, SHELTER CARE AND SUPPORT FOR CHILDREN THROUGH THE BIG BROTHER AND BIG SISTER PROGRAMS IN GRAND RAPIDS, MICHIGAN.",NA,18,18,432,520,0,0,3654694,2273905,12533260,13775311,83694,84048,7644,-39191,16279292,16094073,0,9875,9629,246,0,49336,0,109738,109738,0,-60402,-60402,0,0,0,2092350,2143627,2092350,0,10699187,11240711,0,0,345917,0,0,56582,0,0,36353,688732,781667,362870,407157,2724580,2724661,15516117,16108999,763175,-14926,13583770,14670801,1453177,1930880,12130593,NA,12739921,1719830,2018031,0,0,1719830,2018031,10887432,6082052,4740493,4805380,10318,10318,14743923,"1","0","X",18,18,"0","0","0","0","0","0","0","1","1","0","1","1","1","1","MI",NA,NA,"Upon Request",NA,",,Upon Request,",NA,6164512021,NA,NA,NA,NA,466379,356574,1330019,1291429,0,0,0,0,0,0,0,0,195203,261068,5121528,5928001,0,0,0,0,0,0,13583770,14670801,1452177,1930880,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1453177,1930880,"X",NA,7953159,8536471,2049038,2074554,2128396,2128896,0,0,0,0,0,0,12130593,12739921,13583770,14670801,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49503,26081,"P30",-85.6494,42.9846,26081001000,2.61e+14,624110,"PC",-85.6492636,42.9849471
381359259,"GRAND RAPIDS URBAN LEAGUE",NA,2013,"MI","745 EASTERN AVE SE","GRAND RAPIDS",49503,"1/1/2013","12/31/2013","JOHN P ROSENDALL","990",982354,"FALSE",NA,1943,"MI","WWW.GRURBANLEAGUE.ORG","https://s3.amazonaws.com/irs-form-990/201422189349300747_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","ADVOCATE FOR THE DISADVANTAGED",NA,17,17,16,11,0,0,714818,973187,0,0,1044,1117,8400,-55525,724262,918779,0,0,0,0,0,0,0,63575,63575,0,-63575,-63575,0,0,0,57738,34145,57738,0,351966,542465,0,0,32257,0,1140,27517,0,0,0,52324,80981,35390,37484,201282,312417,610986,889027,113276,29752,470519,489196,350512,338083,120007,NA,151113,42122,36600,238699,109698,280821,146298,744083,632995,77981,111088,0,0,599336,"FALSE","FALSE","X",17,17,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","MI",NA,"Another's Website","Upon Request",NA,",Another's Website,Upon Request,","BRENDA MOORE",6162452207,NA,NA,NA,NA,98592,217332,0,0,0,0,0,0,0,0,0,0,0,0,13125,14478,0,0,0,0,0,0,470519,489196,66987,121759,0,0,0,0,0,0,1171,1505,0,0,236919,214819,0,0,45435,0,350512,338083,"X",NA,-86852,-124887,206859,276000,0,0,0,0,0,0,0,0,120007,151113,470519,489196,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49503,26081,"P22",-85.6492,42.9489,26081003200,2.61e+14,624000,"PC",-85.6495535,42.9488107
381359578,"YWCA WEST CENTRAL MICHIGAN",NA,2013,"MI","25 SHELDON SE","GRAND RAPIDS",49503,"10/1/2013","9/30/2014","MARGARET W BISHOP CPA","990",5963431,"0",NA,1900,"MI","WWW.YWCAWCMI.ORG","https://s3.amazonaws.com/irs-form-990/201520479349301307_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","THE YWCA WEST CENTRAL MICHIGAN PROGRAMS AND ACTIVITIES ADDRESS THE PUBLIC HEALTH ISSUES SURROUNDING VIOLENCE AGAINST WOMEN AND CHILDREN. SPECIFIC SERVICES INCLUDE THOSE THAT SUPPORT VICTIMS OF DOMESTIC VIOLENCE, SEXUAL ASSAULT AND CHILD SEXUAL ABUSE. IN ORDER TO REDUCE GIRLS' VULNERABILITY TO VIOLENCE AND TO INCREASE THEIR ABILITY TO THRIVE, ALSO OFFERED IS INTERVENTION/EMPOWERMENT PROGRAMMING THROUGH GIRLS INCORPORATED.",NA,15,15,102,143,0,0,4749203,5367649,355394,332732,28102,30532,-33905,-36603,5098794,5694310,300,0,0,1180,0,42808,0,79411,79411,0,-36603,-36603,0,0,0,300881,435256,300881,0,2326809,2509827,67250,24000,279648,0,0,31554,0,24000,0,121035,176589,260366,119459,1094087,855719,3789027,3824802,1309767,1869508,7173600,9456141,816452,1147026,6357148,NA,8309115,681526,1243329,244881,245463,926407,1488792,6349051,3619004,2285009,2730047,1132148,1128663,3164404,"0","0","X",15,15,"0","0","0","0","1","1","0","1","1","0","1","1","1","1","MI","Own Website","Another's Website","Upon Request",NA,"Own Website,Another's Website,Upon Request,",NA,6164594681,NA,NA,NA,NA,1870250,2966266,20957,16324,0,0,0,0,0,0,0,0,102844,127794,835985,998255,0,0,0,0,0,0,7173600,9456141,238885,564797,0,0,0,0,0,0,7567,12229,0,0,570000,570000,0,0,0,0,816452,1147026,"X",NA,2175856,2529193,2903458,4465394,1277834,1314528,0,0,0,0,0,0,6357148,8309115,7173600,9456141,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49503,26081,"P27",-85.6668,42.9625,26081002000,2.61e+14,624100,"PC",-85.6670984,42.9624118
381360555,"UNITED METHODIST COMMUNITY HOUSE",NA,2013,"MI","904 SHELDON AVE SE","GRAND RAPIDS",49507,"1/1/2013","12/31/2013","JOHN P ROSENDALL","990",1434521,"FALSE",NA,1972,"MI","WWW.UMCHOUSEGR.ORG","https://s3.amazonaws.com/irs-form-990/201400849349300005_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","THE COMMUNITY HOUSE IS AN AGENCY OF SOCIAL CONCERN COMMITTED TO ITS MISSION OF ""INCREASING THE ABILITY OF CHILDREN, YOUTH, ADULTS AND FAMILIES TO SUCCEED IN A DIVERSE COMMUNITY.""",NA,11,11,109,NA,0,0,829379,800465,379958,593405,224,1179,37318,31665,1246879,1426714,0,0,0,0,0,13239,0,7807,7807,0,5432,5432,0,0,0,0,0,0,0,881537,969354,0,0,68783,0,0,0,0,0,0,28216,28216,58576,56764,582135,454732,1463672,1424086,-216793,2628,1627155,1783482,207388,360306,1419767,NA,1423176,216032,424085,0,0,216032,424085,2684513,1468266,1269102,1216247,0,0,857533,"FALSE","FALSE","X",11,11,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","MI",NA,"Another's Website","Upon Request",NA,",Another's Website,Upon Request,","CHANDRA PEARSON",6164523226,NA,NA,NA,NA,117730,109230,11574,21556,0,0,0,0,0,0,0,0,7855,5722,4862,6642,0,0,0,0,0,0,1627155,1783482,45898,62861,0,0,106816,257929,0,0,0,0,0,0,54674,39516,0,0,0,0,207388,360306,"X",NA,1317121,1335134,102646,88042,0,0,0,0,0,0,0,0,1419767,1423176,1627155,1783482,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49507,26081,"P28",-85.6658,42.9468,26081002800,2.61e+14,624190,"PC",-85.6652691,42.9470212
381360923,"HEART OF WEST MICHIGAN UNITED WAY",NA,2013,"MI","118 COMMERCE AVENUE SW SUITE 100","GRAND RAPIDS",495034106,"7/1/2013","6/30/2014","LYNNE M HUISMANN","990",26816216,"0",NA,1917,"MI","WWW.HWMUW.ORG","https://s3.amazonaws.com/irs-form-990/201443359349300204_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","SEE SCHEDULE O",NA,18,18,95,6082,86490,-23075,14060444,13120395,228079,226990,713842,1384058,412984,341789,15415349,15073232,0,0,0,839545,0,0,0,0,0,0,0,0,0,0,0,10549983,9724528,10549983,0,3421496,3543367,0,0,1566006,0,10279,20700,0,0,0,808930,839909,53675,280212,2117977,1858120,16089456,15126015,-674107,-52783,29458632,27373064,5226645,3822770,24231987,NA,23550294,250,250,911044,2605800,911294,2606050,5598701,2416615,3271718,3182086,1882590,1754927,13131047,"1","0","X",18,18,"0","0","0","0","0","0","0","1","1","0","1","1","1","1","MI","Own Website",NA,"Upon Request",NA,"Own Website,,Upon Request,","GEOFFREY J BREMER",6167528638,NA,NA,NA,NA,7087197,4904743,959607,75195,0,0,0,0,0,0,0,0,61214,17168,15285012,14832895,0,0,0,0,0,0,29458632,27373064,381551,268925,2379996,1493269,0,11774,0,0,0,0,0,0,0,0,0,0,2465098,2048802,5226645,3822770,"X",NA,7366495,6745535,9861123,9679218,7004369,7125541,0,0,0,0,0,0,24231987,23550294,29458632,27373064,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,1812,0,1812,0,12993418,0,12995230,0,799762,0,49503,26081,"T70",-85.6691,42.959692,NA,NA,813219,"PC",-85.6686894,42.9605503
381360926,"HUMANE SOCIETY OF WEST MICHIGAN",NA,2013,"MI","3077 WILSON NW","GRAND RAPIDS",49534,"7/1/2013","6/30/2014","TIMOTHY D ARTER","990",3760959,"0",NA,1883,"MI","WWW.HSWESTMI.ORG","https://s3.amazonaws.com/irs-form-990/201413049349300421_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","OUR MISSION IS TO PROMOTE THE HUMANE TREATMENT AND RESPONSIBLE CARE OF ANIMALS IN WEST MICHIGAN THROUGH EDUCATION, EXAMPLE, PLACEMENT AND PROTECTION. OUR VISION IS TO BUILD A MORE COMPASSIONATE COMMUNITY WHERE ALL ANIMALS ARE GIVEN THE CARE THEY DESERVE.",NA,12,12,38,638,-62,-62,931144,2700678,305694,280889,25459,136266,62301,128165,1324598,3245998,0,0,0,101988,0,151046,0,22441,22441,0,128605,128605,9410,9850,-440,0,0,0,0,859552,902423,0,0,249916,0,67,12350,0,0,24365,41358,78140,80355,120163,537520,611626,1397072,1514049,-72474,1731949,4626249,6554137,272985,250132,4353264,NA,6304005,99619,83622,171629,254001,271248,337623,3340039,1507601,1926674,1832438,2192660,4340063,979339,"0","0","X",12,12,"0","0","0","0","0","0","0","1","1","0","1","1","1","1","MI",NA,NA,"Upon Request",NA,",,Upon Request,",NA,6164538900,NA,NA,NA,NA,213020,25220,5163,2603,0,0,0,0,0,0,5744,1686,11740,14504,0,0,0,0,0,0,0,0,4626249,6554137,114456,97950,0,0,138676,137366,0,0,0,0,0,0,0,0,19853,14816,0,0,272985,250132,"X",NA,2141300,1956576,19304,7366,2192660,4340063,0,0,0,0,0,0,4353264,6304005,4626249,6554137,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49534,26081,"D20",-85.7853,43.0211,26081011600,2.61e+14,813312,"PC",-85.7854439,43.0188822
381366924,"GIRL SCOUTS OF MICHIGAN SHORE TO SHORE",NA,2013,"MI","3275 WALKER AVENUE NW","GRAND RAPIDS",49544,"10/1/2013","9/30/2014","KERRY J NELSON CPA","990",5100882,"0",NA,1947,"MI","WWW.GSMISTS.ORG","https://s3.amazonaws.com/irs-form-990/201532299349300003_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","GIRL SCOUTS BUILDS GIRLS OF COURAGE, CONFIDENCE, AND CHARACTER WHO MAKE THE WORLD A BETTER PLACE.",NA,15,15,84,3852,20054,0,448543,302578,150469,105753,107930,96352,2369449,2463438,3076391,2968121,0,0,0,43571,0,0,0,14025,14025,0,-14025,-14025,4523214,2099942,2423272,59609,41465,59609,0,1911249,2021399,0,0,199688,0,0,0,0,0,0,102099,102099,168105,171466,1368122,1506520,3338980,3569384,-262589,-601263,6434101,6214000,1304807,1668776,5129294,NA,4545224,0,0,139302,157590,139302,157590,8238755,4564075,3844565,3674680,1050455,1053438,2693297,"0","0","X",15,15,"0","0","0","0","1","1","1","1","1","0","1","1","1","1","MI",NA,"Another's Website","Upon Request",NA,",Another's Website,Upon Request,",NA,6167843341,NA,NA,NA,NA,108884,91756,65852,1259,0,0,0,0,0,0,102536,86458,77210,78929,0,0,1045297,1069890,0,1069890,0,0,6434101,6214000,329562,345766,0,0,1825,0,0,0,0,0,0,0,639728,1020390,313210,283059,20482,19561,1304807,1668776,"X",NA,4862859,4342996,253085,188878,13350,13350,0,0,0,0,0,0,5129294,4545224,6434101,6214000,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49544,26081,"O42",-85.7261,43.0225,26081011500,2.61e+14,813410,"PC",-85.7274413,43.0237157
